Order_ID,Date,Year,Month,Month_Num,Quarter,Day_of_Week,Category,Product,Unit_Price,Quantity,Total_Sales,Customer_ID,Region,Age_Group,Gender,Payment_Method,Shipping_Method
ORD1000,2023-01-01,2023,January,1,Q1,Sunday,Electronics,Wireless Headphones,902.78,1,902.78,CUST0378,North,56+,Male,Gift Card,Standard
ORD1001,2023-01-01,2023,January,1,Q1,Sunday,Electronics,Wireless Headphones,301.43,1,301.43,CUST0288,South,56+,Female,PayPal,Express
ORD1002,2023-01-01,2023,January,1,Q1,Sunday,Books,Self-Help Book,34.28,1,34.28,CUST0358,West,36-45,Female,PayPal,Standard
ORD1003,2023-01-01,2023,January,1,Q1,Sunday,Home & Garden,Coffee Maker,45.97,2,91.94,CUST0310,East,18-25,Other,Gift Card,Next Day
ORD1004,2023-01-01,2023,January,1,Q1,Sunday,Electronics,Tablet,140.62,3,421.86,CUST0317,East,56+,Male,Credit Card,Standard
ORD1005,2023-01-01,2023,January,1,Q1,Sunday,Clothing,Jacket,148.0,4,592.0,CUST0195,East,46-55,Other,Debit Card,Standard
ORD1006,2023-01-01,2023,January,1,Q1,Sunday,Home & Garden,Bed Sheets,78.66,3,235.98,CUST0332,North,56+,Other,PayPal,Next Day
ORD1007,2023-01-01,2023,January,1,Q1,Sunday,Clothing,Jeans,77.41,3,232.23,CUST0353,Central,26-35,Other,Debit Card,Standard
ORD1008,2023-01-01,2023,January,1,Q1,Sunday,Clothing,T-Shirt,123.68,1,123.68,CUST0109,Central,36-45,Male,Gift Card,Express
ORD1009,2023-01-01,2023,January,1,Q1,Sunday,Sports,Dumbbells,150.82,3,452.46,CUST0276,East,56+,Female,Gift Card,Express
ORD1010,2023-01-01,2023,January,1,Q1,Sunday,Clothing,Jeans,83.79,1,83.79,CUST0441,North,26-35,Other,PayPal,Next Day
ORD1011,2023-01-01,2023,January,1,Q1,Sunday,Sports,Bicycle,55.18,2,110.36,CUST0271,East,56+,Male,Credit Card,Next Day
ORD1012,2023-01-01,2023,January,1,Q1,Sunday,Books,Self-Help Book,33.06,2,66.12,CUST0223,South,46-55,Male,Debit Card,Next Day
ORD1013,2023-01-01,2023,January,1,Q1,Sunday,Clothing,Dress,138.2,6,829.2,CUST0431,Central,56+,Male,PayPal,Express
ORD1014,2023-01-01,2023,January,1,Q1,Sunday,Clothing,Dress,143.72,4,574.88,CUST0307,East,46-55,Male,Credit Card,Express
ORD1015,2023-01-01,2023,January,1,Q1,Sunday,Home & Garden,Vacuum Cleaner,36.22,4,144.88,CUST0044,West,18-25,Other,PayPal,Standard
ORD1016,2023-01-01,2023,January,1,Q1,Sunday,Sports,Bicycle,103.44,3,310.32,CUST0217,South,56+,Other,PayPal,Next Day
ORD1017,2023-01-01,2023,January,1,Q1,Sunday,Home & Garden,Garden Tools,298.64,2,597.28,CUST0461,Central,46-55,Male,PayPal,Standard
ORD1018,2023-01-01,2023,January,1,Q1,Sunday,Electronics,Laptop,74.19,3,222.57,CUST0113,North,18-25,Other,Credit Card,Standard
ORD1019,2023-01-01,2023,January,1,Q1,Sunday,Electronics,Wireless Headphones,1038.58,1,1038.58,CUST0143,West,26-35,Other,PayPal,Next Day
ORD1020,2023-01-01,2023,January,1,Q1,Sunday,Books,Science Book,24.18,2,48.36,CUST0098,North,18-25,Other,Gift Card,Express
ORD1021,2023-01-01,2023,January,1,Q1,Sunday,Sports,Fitness Tracker,246.84,3,740.52,CUST0335,North,18-25,Female,Debit Card,Standard
ORD1022,2023-01-01,2023,January,1,Q1,Sunday,Clothing,Jeans,40.68,2,81.36,CUST0094,East,46-55,Male,Credit Card,Express
ORD1023,2023-01-01,2023,January,1,Q1,Sunday,Books,Fiction Novel,11.52,4,46.08,CUST0497,North,26-35,Male,Gift Card,Express
ORD1024,2023-01-01,2023,January,1,Q1,Sunday,Sports,Dumbbells,435.71,5,2178.55,CUST0195,North,46-55,Female,Gift Card,Express
ORD1025,2023-01-01,2023,January,1,Q1,Sunday,Sports,Bicycle,339.39,1,339.39,CUST0152,South,18-25,Other,Credit Card,Next Day
ORD1026,2023-01-01,2023,January,1,Q1,Sunday,Home & Garden,Coffee Maker,34.04,3,102.12,CUST0081,North,56+,Male,PayPal,Standard
ORD1027,2023-01-01,2023,January,1,Q1,Sunday,Books,Fiction Novel,30.26,1,30.26,CUST0483,Central,26-35,Other,Credit Card,Next Day
ORD1028,2023-01-01,2023,January,1,Q1,Sunday,Electronics,Tablet,805.98,2,1611.96,CUST0479,East,26-35,Other,Debit Card,Standard
ORD1029,2023-01-01,2023,January,1,Q1,Sunday,Home & Garden,Garden Tools,56.65,2,113.3,CUST0162,North,18-25,Female,Credit Card,Standard
ORD1030,2023-01-01,2023,January,1,Q1,Sunday,Books,Cookbook,25.18,2,50.36,CUST0452,North,26-35,Female,Debit Card,Standard
ORD1031,2023-01-01,2023,January,1,Q1,Sunday,Sports,Bicycle,359.18,3,1077.54,CUST0271,North,56+,Female,Credit Card,Standard
ORD1032,2023-01-01,2023,January,1,Q1,Sunday,Home & Garden,Coffee Maker,269.12,1,269.12,CUST0140,East,56+,Male,Debit Card,Standard
ORD1033,2023-01-01,2023,January,1,Q1,Sunday,Home & Garden,Lamp,156.79,4,627.16,CUST0048,West,36-45,Male,Credit Card,Express
ORD1034,2023-01-01,2023,January,1,Q1,Sunday,Clothing,Jacket,36.81,3,110.43,CUST0219,Central,18-25,Male,Credit Card,Next Day
ORD1035,2023-01-01,2023,January,1,Q1,Sunday,Clothing,Dress,19.86,3,59.58,CUST0076,West,26-35,Male,Debit Card,Express
ORD1036,2023-01-01,2023,January,1,Q1,Sunday,Electronics,Laptop,291.59,1,291.59,CUST0182,Central,46-55,Other,PayPal,Standard
ORD1037,2023-01-01,2023,January,1,Q1,Sunday,Clothing,Jeans,133.99,3,401.97,CUST0474,East,46-55,Other,PayPal,Express
ORD1038,2023-01-01,2023,January,1,Q1,Sunday,Clothing,T-Shirt,66.64,2,133.28,CUST0114,South,46-55,Female,Debit Card,Standard
ORD1039,2023-01-01,2023,January,1,Q1,Sunday,Clothing,T-Shirt,104.1,2,208.2,CUST0443,North,36-45,Female,Gift Card,Next Day
ORD1040,2023-01-02,2023,January,1,Q1,Monday,Home & Garden,Coffee Maker,52.3,5,261.5,CUST0298,East,18-25,Male,Gift Card,Express
ORD1041,2023-01-02,2023,January,1,Q1,Monday,Home & Garden,Garden Tools,189.74,2,379.48,CUST0461,Central,26-35,Female,Credit Card,Next Day
ORD1042,2023-01-02,2023,January,1,Q1,Monday,Sports,Yoga Mat,271.96,3,815.88,CUST0369,South,36-45,Female,Credit Card,Next Day
ORD1043,2023-01-02,2023,January,1,Q1,Monday,Home & Garden,Lamp,107.9,3,323.7,CUST0461,East,56+,Female,Gift Card,Express
ORD1044,2023-01-02,2023,January,1,Q1,Monday,Sports,Running Shoes,288.35,3,865.05,CUST0482,West,26-35,Other,Debit Card,Express
ORD1045,2023-01-02,2023,January,1,Q1,Monday,Books,Fiction Novel,19.12,3,57.36,CUST0311,East,46-55,Female,Gift Card,Next Day
ORD1046,2023-01-02,2023,January,1,Q1,Monday,Clothing,Dress,78.88,5,394.4,CUST0338,North,36-45,Other,Debit Card,Standard
ORD1047,2023-01-02,2023,January,1,Q1,Monday,Clothing,Jacket,45.33,1,45.33,CUST0024,South,46-55,Other,Credit Card,Express
ORD1048,2023-01-02,2023,January,1,Q1,Monday,Sports,Bicycle,117.36,2,234.72,CUST0205,South,26-35,Other,Credit Card,Standard
ORD1049,2023-01-02,2023,January,1,Q1,Monday,Sports,Dumbbells,108.55,8,868.4,CUST0238,North,56+,Male,Credit Card,Express
ORD1050,2023-01-02,2023,January,1,Q1,Monday,Clothing,Sneakers,105.12,8,840.96,CUST0163,West,56+,Other,Gift Card,Next Day
ORD1051,2023-01-02,2023,January,1,Q1,Monday,Sports,Dumbbells,378.24,2,756.48,CUST0385,South,36-45,Other,Gift Card,Next Day
ORD1052,2023-01-02,2023,January,1,Q1,Monday,Clothing,Jacket,74.38,1,74.38,CUST0140,East,36-45,Other,Credit Card,Standard
ORD1053,2023-01-02,2023,January,1,Q1,Monday,Clothing,Jeans,66.71,1,66.71,CUST0033,West,46-55,Female,Gift Card,Express
ORD1054,2023-01-02,2023,January,1,Q1,Monday,Electronics,Smart Watch,1007.82,3,3023.46,CUST0485,North,56+,Female,Gift Card,Standard
ORD1055,2023-01-02,2023,January,1,Q1,Monday,Home & Garden,Bed Sheets,230.97,7,1616.79,CUST0276,Central,56+,Male,Gift Card,Standard
ORD1056,2023-01-02,2023,January,1,Q1,Monday,Home & Garden,Garden Tools,155.98,3,467.94,CUST0348,West,26-35,Female,PayPal,Next Day
ORD1057,2023-01-02,2023,January,1,Q1,Monday,Books,Fiction Novel,37.21,3,111.63,CUST0014,North,46-55,Male,Gift Card,Standard
ORD1058,2023-01-02,2023,January,1,Q1,Monday,Electronics,Laptop,485.97,2,971.94,CUST0173,West,36-45,Female,Debit Card,Standard
ORD1059,2023-01-02,2023,January,1,Q1,Monday,Sports,Yoga Mat,380.79,2,761.58,CUST0115,North,18-25,Male,PayPal,Standard
ORD1060,2023-01-02,2023,January,1,Q1,Monday,Electronics,Bluetooth Speaker,225.24,3,675.72,CUST0059,Central,26-35,Female,Debit Card,Express
ORD1061,2023-01-02,2023,January,1,Q1,Monday,Clothing,Dress,96.98,1,96.98,CUST0399,South,36-45,Male,Credit Card,Express
ORD1062,2023-01-02,2023,January,1,Q1,Monday,Books,Biography,21.9,1,21.9,CUST0304,South,18-25,Other,Debit Card,Next Day
ORD1063,2023-01-02,2023,January,1,Q1,Monday,Books,Fiction Novel,33.89,1,33.89,CUST0178,Central,46-55,Other,Debit Card,Standard
ORD1064,2023-01-02,2023,January,1,Q1,Monday,Books,Self-Help Book,10.38,2,20.76,CUST0055,West,36-45,Other,Gift Card,Next Day
ORD1065,2023-01-02,2023,January,1,Q1,Monday,Clothing,Sneakers,38.78,3,116.34,CUST0139,Central,56+,Female,Gift Card,Express
ORD1066,2023-01-02,2023,January,1,Q1,Monday,Books,Self-Help Book,19.67,1,19.67,CUST0143,West,26-35,Female,Gift Card,Express
ORD1067,2023-01-02,2023,January,1,Q1,Monday,Electronics,Tablet,1028.6,1,1028.6,CUST0182,East,36-45,Female,Debit Card,Next Day
ORD1068,2023-01-02,2023,January,1,Q1,Monday,Electronics,Bluetooth Speaker,1140.27,3,3420.81,CUST0209,West,56+,Male,Gift Card,Next Day
ORD1069,2023-01-02,2023,January,1,Q1,Monday,Sports,Fitness Tracker,401.64,1,401.64,CUST0208,South,36-45,Other,Debit Card,Express
ORD1070,2023-01-02,2023,January,1,Q1,Monday,Books,Science Book,20.31,8,162.48,CUST0170,East,46-55,Female,Debit Card,Express
ORD1071,2023-01-02,2023,January,1,Q1,Monday,Clothing,T-Shirt,112.37,3,337.11,CUST0275,South,26-35,Male,Gift Card,Express
ORD1072,2023-01-02,2023,January,1,Q1,Monday,Books,Science Book,27.9,5,139.5,CUST0152,South,36-45,Male,Debit Card,Standard
ORD1073,2023-01-02,2023,January,1,Q1,Monday,Books,Cookbook,18.23,8,145.84,CUST0150,South,46-55,Male,Credit Card,Next Day
ORD1074,2023-01-02,2023,January,1,Q1,Monday,Home & Garden,Garden Tools,154.04,1,154.04,CUST0130,West,18-25,Male,Gift Card,Express
ORD1075,2023-01-02,2023,January,1,Q1,Monday,Electronics,Bluetooth Speaker,773.86,1,773.86,CUST0416,Central,36-45,Male,PayPal,Standard
ORD1076,2023-01-02,2023,January,1,Q1,Monday,Books,Biography,28.19,1,28.19,CUST0398,Central,46-55,Female,Gift Card,Express
ORD1077,2023-01-03,2023,January,1,Q1,Tuesday,Sports,Running Shoes,295.1,3,885.3,CUST0051,South,26-35,Female,Credit Card,Standard
ORD1078,2023-01-03,2023,January,1,Q1,Tuesday,Clothing,Jeans,89.52,2,179.04,CUST0231,Central,46-55,Female,Credit Card,Standard
ORD1079,2023-01-03,2023,January,1,Q1,Tuesday,Home & Garden,Bed Sheets,216.84,3,650.52,CUST0120,East,56+,Other,PayPal,Express
ORD1080,2023-01-03,2023,January,1,Q1,Tuesday,Electronics,Bluetooth Speaker,308.53,2,617.06,CUST0424,South,18-25,Male,PayPal,Express
ORD1081,2023-01-03,2023,January,1,Q1,Tuesday,Books,Science Book,37.64,2,75.28,CUST0353,East,46-55,Female,Gift Card,Express
ORD1082,2023-01-03,2023,January,1,Q1,Tuesday,Electronics,Bluetooth Speaker,95.84,2,191.68,CUST0310,East,18-25,Male,PayPal,Next Day
ORD1083,2023-01-03,2023,January,1,Q1,Tuesday,Books,Science Book,38.52,6,231.12,CUST0296,North,26-35,Female,Gift Card,Express
ORD1084,2023-01-03,2023,January,1,Q1,Tuesday,Clothing,Dress,73.84,1,73.84,CUST0241,East,46-55,Female,Debit Card,Next Day
ORD1085,2023-01-03,2023,January,1,Q1,Tuesday,Electronics,Smart Watch,429.27,2,858.54,CUST0340,West,56+,Male,Gift Card,Standard
ORD1086,2023-01-03,2023,January,1,Q1,Tuesday,Home & Garden,Bed Sheets,110.52,7,773.64,CUST0443,Central,18-25,Other,Gift Card,Express
ORD1087,2023-01-03,2023,January,1,Q1,Tuesday,Electronics,Smart Watch,646.21,2,1292.42,CUST0321,West,18-25,Male,Debit Card,Next Day
ORD1088,2023-01-03,2023,January,1,Q1,Tuesday,Clothing,Jacket,74.15,1,74.15,CUST0015,Central,26-35,Other,PayPal,Express
ORD1089,2023-01-03,2023,January,1,Q1,Tuesday,Books,Fiction Novel,26.57,1,26.57,CUST0237,North,26-35,Female,Debit Card,Next Day
ORD1090,2023-01-03,2023,January,1,Q1,Tuesday,Home & Garden,Garden Tools,253.72,5,1268.6,CUST0234,Central,26-35,Female,PayPal,Next Day
ORD1091,2023-01-03,2023,January,1,Q1,Tuesday,Books,Cookbook,35.92,2,71.84,CUST0175,Central,36-45,Male,Debit Card,Next Day
ORD1092,2023-01-03,2023,January,1,Q1,Tuesday,Home & Garden,Lamp,182.38,1,182.38,CUST0229,Central,46-55,Female,Debit Card,Next Day
ORD1093,2023-01-03,2023,January,1,Q1,Tuesday,Books,Biography,23.66,1,23.66,CUST0358,South,56+,Female,PayPal,Express
ORD1094,2023-01-03,2023,January,1,Q1,Tuesday,Electronics,Laptop,906.41,2,1812.82,CUST0198,South,46-55,Male,PayPal,Next Day
ORD1095,2023-01-03,2023,January,1,Q1,Tuesday,Books,Self-Help Book,36.09,7,252.63,CUST0052,Central,46-55,Male,PayPal,Express
ORD1096,2023-01-03,2023,January,1,Q1,Tuesday,Clothing,T-Shirt,78.38,6,470.28,CUST0320,West,18-25,Female,Gift Card,Express
ORD1097,2023-01-03,2023,January,1,Q1,Tuesday,Sports,Bicycle,42.05,3,126.15,CUST0351,East,26-35,Other,Credit Card,Express
ORD1098,2023-01-03,2023,January,1,Q1,Tuesday,Electronics,Wireless Headphones,560.23,1,560.23,CUST0024,East,18-25,Female,Debit Card,Express
ORD1099,2023-01-03,2023,January,1,Q1,Tuesday,Sports,Dumbbells,140.99,3,422.97,CUST0406,South,26-35,Male,Credit Card,Next Day
ORD1100,2023-01-03,2023,January,1,Q1,Tuesday,Sports,Bicycle,349.49,3,1048.47,CUST0074,South,46-55,Other,Debit Card,Express
ORD1101,2023-01-03,2023,January,1,Q1,Tuesday,Home & Garden,Coffee Maker,271.69,2,543.38,CUST0347,Central,26-35,Male,Gift Card,Express
ORD1102,2023-01-03,2023,January,1,Q1,Tuesday,Books,Self-Help Book,29.17,2,58.34,CUST0234,East,26-35,Female,Gift Card,Standard
ORD1103,2023-01-03,2023,January,1,Q1,Tuesday,Clothing,Sneakers,92.21,3,276.63,CUST0152,North,46-55,Female,Credit Card,Next Day
ORD1104,2023-01-03,2023,January,1,Q1,Tuesday,Electronics,Bluetooth Speaker,906.95,2,1813.9,CUST0398,South,56+,Female,PayPal,Next Day
ORD1105,2023-01-03,2023,January,1,Q1,Tuesday,Clothing,Dress,48.83,3,146.49,CUST0349,South,18-25,Other,Credit Card,Express
ORD1106,2023-01-03,2023,January,1,Q1,Tuesday,Sports,Yoga Mat,300.3,1,300.3,CUST0466,East,36-45,Other,Gift Card,Standard
ORD1107,2023-01-03,2023,January,1,Q1,Tuesday,Clothing,Jeans,121.18,6,727.08,CUST0272,Central,36-45,Male,Debit Card,Express
ORD1108,2023-01-03,2023,January,1,Q1,Tuesday,Home & Garden,Bed Sheets,245.19,1,245.19,CUST0073,South,46-55,Other,Debit Card,Standard
ORD1109,2023-01-03,2023,January,1,Q1,Tuesday,Sports,Yoga Mat,150.62,2,301.24,CUST0345,East,56+,Female,Debit Card,Standard
ORD1110,2023-01-03,2023,January,1,Q1,Tuesday,Clothing,Sneakers,18.38,8,147.04,CUST0168,Central,26-35,Other,Credit Card,Next Day
ORD1111,2023-01-03,2023,January,1,Q1,Tuesday,Sports,Running Shoes,333.39,1,333.39,CUST0485,North,36-45,Female,Credit Card,Standard
ORD1112,2023-01-03,2023,January,1,Q1,Tuesday,Clothing,Dress,33.31,3,99.93,CUST0487,Central,46-55,Other,PayPal,Express
ORD1113,2023-01-03,2023,January,1,Q1,Tuesday,Electronics,Tablet,758.0,6,4548.0,CUST0017,East,26-35,Female,Gift Card,Standard
ORD1114,2023-01-03,2023,January,1,Q1,Tuesday,Home & Garden,Coffee Maker,294.66,3,883.98,CUST0184,North,46-55,Female,PayPal,Standard
ORD1115,2023-01-04,2023,January,1,Q1,Wednesday,Electronics,Smart Watch,787.96,1,787.96,CUST0026,East,26-35,Male,PayPal,Standard
ORD1116,2023-01-04,2023,January,1,Q1,Wednesday,Books,Cookbook,27.59,1,27.59,CUST0169,South,56+,Male,Debit Card,Standard
